"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-300229","Po karanténe","Opravy a údržba kopírovacích strojov a príslušenstva (oprava)","Opravy a údržba kopírovacích strojov a príslušenstva (oprava)","50323200-7 Opravy periférnych zariadení počítačov","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300229","0","0",
"OF-300231","Po karanténe","Poľnohospodárske stroje a príslušenstvo","krovinorez, žacia hlava, vyžínací nôž, cievka","16300000-8 Žacie mechanizmy; 16810000-6 Časti poľnohospodárskych mechanizmov; 34320000-6 Mechanické náhradné súčiastky okrem motorov a ich častí; 16311000-8 Kosačky trávnikov; 44311000-3 Lanká; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300231","1","0",
"OF-300232","Po karanténe","Ochranný prostriedok proti ektoparazitom","ochranný prostriedok, repelent, sprej, hmyz","33631600-8 Antiseptiká a dezinfekčné prostriedky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300232","0","0",
"OF-300235","Po karanténe","Trubky, potrubia, hadice a armatúry","Trubky, potrubia, hadice","44115100-0 Potrubia; 44165100-5 Hadice; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300235","1","0",
"OF-300236","Po karanténe","Skúšky dlhodobej stability Lineárnych urýchľovačov","Skúšky dlhodobej stability","90721600-3 Služby na ochranu pred žiarením; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300236","0","0",
"OF-300238","Po karanténe","Obnovovacie školenie  ADR rozšírené o triedu 1 ","Obnovovacie školenie  ADR rozšírené o triedu 1","79632000-3 Školenia a výcvik personálu; 80510000-2 Služby týkajúce sa odborných školení; 80500000-9 Školiace (výcvikové) služby","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300238","0","0",
"OF-300239","Po karanténe","Základné školenie vodičov ADR + rozšírené na cisterny","základné školenie vodičov ADR rozšírené o cisterny,","79632000-3 Školenia a výcvik personálu; 80510000-2 Služby týkajúce sa odborných školení; 80500000-9 Školiace (výcvikové) služby","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300239","0","0",
"OF-300241","Po karanténe","Kancelárske potreby","kancelárske potreby, spinky, zošit, obal, etikety, zošívačka, obálky, pero, zvýrazňovač, tabuľa, skartovačka, nožnice ...","30190000-7 Rôzne kancelárske zariadenia a kancelárske potreby; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300241","1","0",
"OF-300242","Po karanténe","Laboratórne diagnostické činidlá pre zdravotnícke pracoviská","Laboratórny, diagnostický materiál pre laboratórium","33694000-1 Diagnostické činidlá; 33696300-8 Chemické činidlá; 33696500-0 Laboratórne činidlá; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300242","0","0",
"OF-300244","Po karanténe","Značky a súvisiace prvky","Bezpečnostné značenie, symboly, značky","22000000-0 Tlačené výrobky a príbuzné produkty; 60000000-8 Dopravné služby (bez prepravy odpadu); 34928310-4 Bezpečnostné oplotenie; 35121300-1 Bezpečnostné príslušenstvo; 35000000-4 Bezpečnostné, hasičské, policajné a ochranné vybavenie; 35113400-3 Ochranné a bezpečnostné odevy; 30199700-7 Tlačené výrobky z papiera okrem formulárov; 63727200-3 Tlačenie; 22459100-3 Reklamné nálepky a pásy; 34992200-9 Dopravné značky; 34928470-3 Značenie; 44423400-5 Značky a súvisiace prvky; 35260000-4 Policajné značky; 31523200-0 Permanentné informačné značky; 34992000-7 Značky a svetelné znaky","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300244","1","0",
